test_season,model,class,bin_lower,bin_upper,n,mean_pred,obs_freq
2023-24,gbm,unavailable,0.8,0.9,1781,0.8557,0.8276
2023-24,gbm,unavailable,0.9,1.0,13741,0.9807,0.9756
2023-24,gbm,full,0.0,0.1,16937,0.0148,0.0146
2023-24,gbm,full,0.1,0.2,1891,0.1444,0.1518
2023-24,gbm,full,0.2,0.3,1185,0.2482,0.2768
2023-24,gbm,full,0.3,0.4,1062,0.3503,0.3898
2023-24,gbm,full,0.4,0.5,1084,0.4519,0.5295
2023-24,gbm,full,0.5,0.6,1355,0.5518,0.6155
2023-24,gbm,full,0.6,0.7,1703,0.6527,0.7293
2023-24,gbm,full,0.7,0.8,1981,0.7514,0.8299
2023-24,gbm,full,0.8,0.9,1975,0.8463,0.8911
2023-24,gbm,full,0.9,1.0,552,0.9267,0.9457
2024-25,base_rate,unavailable,0.0,0.1,0,,
2024-25,base_rate,unavailable,0.1,0.2,0,,
2024-25,base_rate,unavailable,0.2,0.3,0,,
2024-25,base_rate,unavailable,0.3,0.4,0,,
2024-25,base_rate,unavailable,0.4,0.5,0,,
2024-25,base_rate,unavailable,0.5,0.6,27283,0.5958,0.5761
2024-25,base_rate,unavailable,0.6,0.7,0,,
2024-25,base_rate,unavailable,0.7,0.8,0,,
2024-25,base_rate,unavailable,0.8,0.9,0,,
2024-25,base_rate,unavailable,0.9,1.0,0,,
2024-25,base_rate,full,0.0,0.1,0,,
2024-25,base_rate,full,0.1,0.2,0,,
2024-25,base_rate,full,0.2,0.3,27283,0.2791,0.2866
2024-25,base_rate,full,0.3,0.4,0,,
2024-25,base_rate,full,0.4,0.5,0,,
2024-25,base_rate,full,0.5,0.6,0,,
2024-25,base_rate,full,0.6,0.7,0,,
2024-25,base_rate,full,0.7,0.8,0,,
2024-25,base_rate,full,0.8,0.9,0,,
2024-25,base_rate,full,0.9,1.0,0,,
2024-25,prior_season,unavailable,0.0,0.1,0,,
2024-25,prior_season,unavailable,0.1,0.2,0,,
2024-25,prior_season,unavailable,0.2,0.3,1633,0.2782,0.2505
2024-25,prior_season,unavailable,0.3,0.4,4532,0.3501,0.3096
2024-25,prior_season,unavailable,0.4,0.5,2849,0.4499,0.3914
2024-25,prior_season,unavailable,0.5,0.6,10539,0.5853,0.6283
2024-25,prior_season,unavailable,0.6,0.7,2298,0.6512,0.6371
2024-25,prior_season,unavailable,0.7,0.8,1752,0.7537,0.8704
2024-25,prior_season,unavailable,0.8,0.9,3680,0.8197,0.8639
2024-25,prior_season,unavailable,0.9,1.0,0,,
2024-25,prior_season,full,0.0,0.1,0,,
2024-25,prior_season,full,0.1,0.2,7104,0.1362,0.0919
2024-25,prior_season,full,0.2,0.3,11168,0.2738,0.2252
2024-25,prior_season,full,0.3,0.4,2390,0.353,0.3418
2024-25,prior_season,full,0.4,0.5,2748,0.4482,0.472
2024-25,prior_season,full,0.5,0.6,2163,0.5508,0.6172
2024-25,prior_season,full,0.6,0.7,1710,0.6401,0.7035
2024-25,prior_season,full,0.7,0.8,0,,
2024-25,prior_season,full,0.8,0.9,0,,
2024-25,prior_season,full,0.9,1.0,0,,
2024-25,fpl_chance,unavailable,0.0,0.1,0,,
2024-25,fpl_chance,unavailable,0.1,0.2,0,,
