position,n_appearances,mean_points,var_points,position_name,seasons
1,3083,3.363282517028868,7.764154309191328,GKP,2022-23+2023-24+2024-25+2025-26
2,15356,2.6368194842406876,8.61501414937221,DEF,2022-23+2023-24+2024-25+2025-26
3,21727,2.787683527408294,8.259301487247285,MID,2022-23+2023-24+2024-25+2025-26
4,5621,3.068848959259918,10.843835489816092,FWD,2022-23+2023-24+2024-25+2025-26
